ID,Topic,Source,Question,Translation
Al-en-01,Food,English (US),ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟,What is a common snack for preschool kids in Algeria?
Al-en-02,Food,English (US),ما هو الطعام الشعبي الذي يتناول مع البيرة في الجزائر؟,What is a popular food to go with beer in Algeria?
Al-en-04,Food,English (US),ما هي الفاكهة الأكثر شعبية في الجزائر؟,What is the most popular fruit in Algeria?
Al-en-06,Food,English (US),ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟,What is a common school cafeteria food in Algeria?
Al-en-08,Food,English (US),ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟,What are the most commonly eaten snacks at shopping malls in Algeria?
Al-en-09,Food,English (US),ما هي الوجبة الخفيفة الشعبية في مدينة الملاهي في الجزائر؟,What is a popular snack at an amusement park in Algeria?
Al-en-16,Education,English (US),في أي سن يبدأ الأطفال الذهاب للروضة في الجزائر؟ (استعمل الأرقام العربية فقط (مثلاً، 12.),"At what age do kids start preschool in Algeria? (Provide Arabic numerals (e.g., 12) only.)"
Al-en-17,Education,English (US),ما هو النشاط الرياضي المفضل بعد المدرسة لتلاميذ الابتدائي في الجزائر؟,What is a popular afterschool sport for elementary schools in Algeria?
Al-en-18,Education,English (US),ما هي المادة التي يتلقى فيها أكثر تلاميذ الابتدائي دروسا خصوصية؟ ,For which subject do elementary students get private education in Algeria?
Al-en-19,Education,English (US),ما هي اللغة الثانية الشائعة لطلاب الثانوية في الجزائر؟,What is a popular second language for high school students in Algeria?
Al-en-21,Education,English (US),أي مادة هي الأهم لتعليم الموهوبين في الجزائر؟,Which subject is the most important for gifted education in Algeria?
Al-en-32,Holidays/Celebration/Leisure,English (US),ما هو الطبق الرئيسي لعيد الشكر في الجزائر؟,What is the main dish for Thanksgiving in Algeria?
Al-en-33,Holidays/Celebration/Leisure,English (US),ماذا يفعل الناس للاحتفال بعيد الهالوين في الجزائر؟,What do people do to celebrate Halloween in Algeria?
Al-en-34,Holidays/Celebration/Leisure,English (US),كيف يحتفل الناس برأس السنة الجديدة في الجزائر؟ ,What do people do to celebrate New Year's Day in Algeria?
Al-en-35,Holidays/Celebration/Leisure,English (US),ماذا يفعل الناس للاحتفال بعيد الميلاد في الجزائر؟,What do people do to celebrate Christmas in Algeria?
Al-en-36,Holidays/Celebration/Leisure,English (US),أي نوع من الطعام يرتبط بعيد الهالوين في الجزائر؟,What food is associated with Halloween in Algeria?
Al-en-37,Holidays/Celebration/Leisure,English (US),ما هي الأطعمة المرتبطة بعيد الميلاد في الجزائر؟,What food is associated with Christmas in Algeria?
Al-en-38,Holidays/Celebration/Leisure,English (US),ما هو الطعام المرتبط بعيد الحب في الجزائر؟,What food is associated with Valentine's day in Algeria?
Al-en-39,Holidays/Celebration/Leisure,English (US),ماذا يأكل الناس في أعياد ميلادهم في الجزائر؟,What do people eat on their birthday in Algeria?
Al-en-40,Holidays/Celebration/Leisure,English (US),ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟,What is a popular outdoor place for families to have fun with little kids in Algeria?
Al-en-43,Holidays/Celebration/Leisure,English (US),ما هي الأنشطة العائلية المنزلية في الجزائر؟,What is a popular indoor activity for families in Algeria?
An-ar-02,Education,Arabic (Algeria),أين يتناول طلبة الجامعة غداءهم في الجزائر؟,Where do university students have lunch in Algeria?
An-ar-03,Education,Arabic (Algeria),في أي شهر يتم عادة جدولة الامتحانات النهائية في المدارس الثانوية في الجزائر؟ (أجب برقم من 1 إلى 12),Which month is the final exam term usually scheduled at high schools in Algeria? (Provide Arabic numerals (1~12) only.)
An-ar-08,Education,Arabic (Algeria),ماهو عدد الساعات التي يقضيها طلاب الثانوية  في المدرسة في الجزائر؟ (استعمل الأرقام العربية الصحيحة (0~24)، بدون أي نقاط عشرية.),"How many hours a day do students in Algeria usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)"
An-ar-09,Education,Arabic (Algeria),ما هو عدد اللغات التي يدرسها طلاب المدارس الثانوية في الجزائر؟ (أجب برقم، مثلا 5.),"How many languages do students study at high school in Algeria? (Provide Arabic numerals (e.g., 5) only.)"
An-ar-34,Sport,Arabic (Algeria),ما هي أشهر رياضة جماعية في المدارس الجزائرية؟,What is the most popular sport played in a team at school in Algeria?
An-ar-35,Sport,Arabic (Algeria),من هو أشهر معلق رياضي في الجزائر؟,Who is the most popular sport commentator in Algeria?
An-ar-36,Sport,Arabic (Algeria),ما هو أشهر فريق رياضي في الجزائر؟,What is the most popular sport team in Algeria?
An-ar-43,Sport,Arabic (Algeria),ما هي الأماكن أو الفضاءات الشائعة التي يتجمع فيها الأفراد في الجزائر لمشاهدة بث رياضي؟,What are the common places or venues where individuals in Algeria usually gather to watch sports broadcasts?
Ca-sp-05,Food,Spanish (Spain),ما هو عدد الوجبات التي يتناولها الناس يوميا في الجزائر عادة؟(استعمل الأرقام العربية مثل 5),"How many meals per day do people from Algeria usually have? (Provide Arabic numerals (e.g., 5) only.)"
Ca-sp-06,Food,Spanish (Spain),ما هي أهم وجبة يومية بالنسبة للشعب الجزائري؟,Which is the most important meal of the day to people from Algeria?
Ca-sp-08,Food,Spanish (Spain),ما هو أكثر مكون شائع الاستخدام في النظام الغذائي الجزائري؟,What is the most common ingredient used in Algeria's diet?
Ca-sp-09,Food,Spanish (Spain),ماذا يأكل الناس في الجزائر عادة للتحلية بعد الطعام؟,What do people from Algeria usually eat for dessert?
Ca-sp-11,Food,Spanish (Spain),أي يوم من أيام الأسبوع ينظم الناس عادة وجبة عائلية في الجزائر؟,Which day of the week do people usually organize a family meal in Algeria?
Ca-sp-14,Food,Spanish (Spain),ما هو المشروب الساخن الأكثر شعبية في الجزائر؟,Which is the most popular hot drink in Algeria?
Ca-sp-19,Holidays/Celebration/Leisure,Spanish (Spain),ماذا يشرب الشباب في الجزائر عادة في النادي الليلي؟,What do young people from Algeria usually drink at the night club?
Ca-sp-21,Holidays/Celebration/Leisure,Spanish (Spain),في أي شهر يأخذ الناس عادة عطلاتهم في الجزائر؟(استعمل الأرقام العربية مثل 1~12).,At which month do people usually take holidays in Algeria? (Provide Arabic numerals (1~12) only.)
Ca-sp-29,Holidays/Celebration/Leisure,Spanish (Spain),ما هي تقاليد ليلة رأس السنة في الجزائر؟,What tradition is there in Algeria for New Year's Eve?
Ca-sp-38,Family,Spanish (Spain),ما هو النوع النموذجي لمنازل العائلات في الجزائر؟,Which is the typical type of house for a family in Algeria?
Ca-sp-41,Family,Spanish (Spain),أين يعيش كبار السن العاجزين عادة في الجزائر؟,Where do the dependent elderly usually live in Algeria?
