ID,Topic,Source,Question,Translation
Al-en-01,Food,English (US),Azərbaycanda məktəbəqədər uşaqlar üçün tipik qəlyanaltı nədir?,What is a common snack for preschool kids in Azerbaijan?
Al-en-02,Food,English (US),Azərbaycanda pivə ilə yaxşı gedən populyar yemək nədir?,What is a popular food to go with beer in Azerbaijan?
Al-en-04,Food,English (US),Azərbaycanda ən populyar meyvə hansıdır?,What is the most popular fruit in Azerbaijan?
Al-en-06,Food,English (US),Azərbaycanda məktəb yeməkxanasında tipik olaraq hansı yemək verilir?,What is a common school cafeteria food in Azerbaijan?
Al-en-08,Food,English (US),Azərbaycanda alış-veriş mərkəzlərində ən çox hansı qəlyanaltılar yeyilir?,What are the most commonly eaten snacks at shopping malls in Azerbaijan?
Al-en-09,Food,English (US),Azərbaycanda əyləncə parkında populyar qəlyanaltı nədir?,What is a popular snack at an amusement park in Azerbaijan?
Al-en-16,Education,English (US),"Azərbaycanda uşaqlar hansı yaşda məktəbəqədər təhsilə başlayırlar? (Yalnız ərəb rəqəmləri (məsələn, 12) göstərin.)","At what age do kids start preschool in Azerbaijan? (Provide Arabic numerals (e.g., 12) only.)"
Al-en-17,Education,English (US),Azərbaycanda ibtidai məktəblər üçün məşhur olan məktəbdənkənar idman növü hansıdır?,What is a popular afterschool sport for elementary schools in Azerbaijan?
Al-en-18,Education,English (US),Azərbaycanda ibtidai sinif şagirdləri hansı fənn üzrə fərdi təhsil alırlar?,For which subject do elementary students get private education in Azerbaijan?
Al-en-19,Education,English (US),Azərbaycanda orta məktəb şagirdləri arasında populyar ikinci dil hansıdır?,What is a popular second language for high school students in Azerbaijan?
Al-en-21,Education,English (US),Azərbaycanda istedadlı təhsil üçün ən vacib fənn hansıdır?,Which subject is the most important for gifted education in Azerbaijan?
Al-en-32,Holidays/Celebration/Leisure,English (US),Azərbaycanda Şükran gününün əsas yeməyi nədir?,What is the main dish for Thanksgiving in Azerbaijan?
Al-en-33,Holidays/Celebration/Leisure,English (US),Azərbaycanda insanlar Halloween'i qeyd etmək üçün nə edirlər?,What do people do to celebrate Halloween in Azerbaijan?
Al-en-34,Holidays/Celebration/Leisure,English (US),Azərbaycanda insanlar Yeni İl gününü qeyd etmək üçün nə edirlər?,What do people do to celebrate New Year's Day in Azerbaijan?
Al-en-35,Holidays/Celebration/Leisure,English (US),Azərbaycanda insanlar Milad bayramını necə qeyd edirlər?,What do people do to celebrate Christmas in Azerbaijan?
Al-en-36,Holidays/Celebration/Leisure,English (US),Azərbaycanda Hellouin bayramı hansı yeməklərlə əlaqələndirilir?,What food is associated with Halloween in Azerbaijan?
Al-en-37,Holidays/Celebration/Leisure,English (US),Azərbaycanda Milad bayramı ilə hansı yeməklər əlaqələndirilir?,What food is associated with Christmas in Azerbaijan?
Al-en-38,Holidays/Celebration/Leisure,English (US),Azərbaycanda Sevgililər günü ilə əlaqələndirilən yemək nədir?,What food is associated with Valentine's day in Azerbaijan?
Al-en-39,Holidays/Celebration/Leisure,English (US),Azərbaycanda insanlar ad günündə nə yeyirlər?,What do people eat on their birthday in Azerbaijan?
Al-en-40,Holidays/Celebration/Leisure,English (US),Azərbaycanda ailələrin kiçik uşaqlarla əylənə biləcəkləri məşhur açıq hava yeri hansıdır?,What is a popular outdoor place for families to have fun with little kids in Azerbaijan?
Al-en-43,Holidays/Celebration/Leisure,English (US),Azərbaycanda ailələr üçün məşhur qapalı fəaliyyət nədir?,What is a popular indoor activity for families in Azerbaijan?
An-ar-02,Education,Arabic (Algeria),Azərbaycanda universitet tələbələri harada nahar edirlər?,Where do university students have lunch in Azerbaijan?
An-ar-03,Education,Arabic (Algeria),Azərbaycanda orta məktəblərdə final imtahanları adətən hansı ayda keçirilir? (Yalnız ərəb rəqəmləri (1~12) göstərin.),Which month is the final exam term usually scheduled at high schools in Azerbaijan? (Provide Arabic numerals (1~12) only.)
An-ar-08,Education,Arabic (Algeria),"Azərbaycanda şagirdlər adətən gündə neçə saat vaxtını liseydə keçirirlər? (Ərəb rəqəmlərini tam ədədlərlə (0~24), ondalıq nöqtəsiz verin.)","How many hours a day do students in Azerbaijan usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)"
An-ar-09,Education,Arabic (Algeria),"Azərbaycanda orta məktəb şagirdləri neçə dildə təhsil alır? (Yalnız ərəb rəqəmləri (məsələn, 5) göstərin.)","How many languages do students study at high school in Azerbaijan? (Provide Arabic numerals (e.g., 5) only.)"
An-ar-34,Sport,Arabic (Algeria),Azərbaycanda məktəbdə komanda ilə oynanılan ən populyar idman növü hansıdır?,What is the most popular sport played in a team at school in Azerbaijan?
An-ar-35,Sport,Arabic (Algeria),Azərbaycanda ən məşhur idman şərhçisi kimdir?,Who is the most popular sport commentator in Azerbaijan?
An-ar-36,Sport,Arabic (Algeria),Azərbaycanda ən populyar idman komandası hansıdır?,What is the most popular sport team in Azerbaijan?
An-ar-43,Sport,Arabic (Algeria),Azərbaycanda insanların adətən idman yayımlarını izləmək üçün toplaşdığı ümumi yerlər və ya məkanlar hansılardır?,What are the common places or venues where individuals in Azerbaijan usually gather to watch sports broadcasts?
