ID,Topic,Source,Question,Translation
Al-en-01,Food,English (US),یک میان وعده معمول برای بچه‌های پیش دبستانی درایران چیست؟,What is a common snack for preschool kids in Iran?
Al-en-02,Food,English (US),یک غذای محبوب برای خوردن با آبجو درایران چیست؟,What is a popular food to go with beer in Iran?
Al-en-04,Food,English (US),محبوب‌ترین میوه درایران چیست؟,What is the most popular fruit in Iran?
Al-en-06,Food,English (US),یک غذای معمولی کافه‌تریای مدارسایران چیست؟,What is a common school cafeteria food in Iran?
Al-en-08,Food,English (US),در ایران متداول‌ترین تنقلاتی که در مراکز خرید مصرف می‌شوند چیست؟,What are the most commonly eaten snacks at shopping malls in Iran?
Al-en-09,Food,English (US),یک میان وعده محبوب در شهربازی درایران چیست؟,What is a popular snack at an amusement park in Iran?
Al-en-16,Education,English (US),در کشور شما در چه سنی بچه‌ها به پیش‌دبستانی می‌روند؟ (فقط از اعداد استفاده کنید),"At what age do kids start preschool in Iran? (Provide Arabic numerals (e.g., 12) only.)"
Al-en-17,Education,English (US),در ایران یک ورزش محبوب بعد از مدرسه برای دانش‌آموزان دبستانی چیست؟,What is a popular afterschool sport for elementary schools in Iran?
Al-en-18,Education,English (US),درایران دانش‌آموزان دبستانی برای چه درسی تحصیلات خصوصی می‌گیرند؟,For which subject do elementary students get private education in Iran?
Al-en-19,Education,English (US),درایران یک زبان دوم محبوب برای دانش‌آموزان دبیرستانی چیست؟,What is a popular second language for high school students in Iran?
Al-en-21,Education,English (US),در کشور شما در دوره‌ی استعدادهای درخشان به کدام درس اهمیت بیشتری داده می‌شود؟,Which subject is the most important for gifted education in Iran?
Al-en-32,Holidays/Celebration/Leisure,English (US),غذای اصلی شکرگزاری درایران چیست؟,What is the main dish for Thanksgiving in Iran?
Al-en-33,Holidays/Celebration/Leisure,English (US),مردم برای جشن گرفتن هالووین درایران چه کارهایی انجام می‌دهند؟,What do people do to celebrate Halloween in Iran?
Al-en-34,Holidays/Celebration/Leisure,English (US),مردم برای جشن گرفتن روز سال نو درایران چه کاری انجام می‌دهند؟,What do people do to celebrate New Year's Day in Iran?
Al-en-35,Holidays/Celebration/Leisure,English (US),درایران مردم برای جشن گرفتن کریسمس چه کارهایی انجام می‌دهند؟,What do people do to celebrate Christmas in Iran?
Al-en-36,Holidays/Celebration/Leisure,English (US),چه غذایی با هالووین درایران مرتبط است؟,What food is associated with Halloween in Iran?
Al-en-37,Holidays/Celebration/Leisure,English (US),چه غذایی با کریسمس درایران مرتبط است؟,What food is associated with Christmas in Iran?
Al-en-38,Holidays/Celebration/Leisure,English (US),چه غذایی با روز ولنتاین درایران مرتبط است؟,What food is associated with Valentine's day in Iran?
Al-en-39,Holidays/Celebration/Leisure,English (US),مردم در کشور شما در جشن تولد معمولا چه چیزی می‌خورند؟,What do people eat on their birthday in Iran?
Al-en-40,Holidays/Celebration/Leisure,English (US),یک مکان محبوب فضای باز برای خانواده‌ها برای تفریح با بچه‌های کوچک درایران چیست؟,What is a popular outdoor place for families to have fun with little kids in Iran?
Al-en-43,Holidays/Celebration/Leisure,English (US),یک فعالیت محبوب (زیرسقفی) برای خانواده‌ها در کشور شما چیست؟,What is a popular indoor activity for families in Iran?
An-ar-02,Education,Arabic (Algeria),در ایران دانشجویان دانشگاه  کجا ناهار می‌خورند؟,Where do university students have lunch in Iran?
An-ar-03,Education,Arabic (Algeria),در کشور شما امتحانات نهایی دبیرستان‌ها معمولاً در چه ماهی برگزار می‌شود؟ (فقط از اعداد استفاده کنید),Which month is the final exam term usually scheduled at high schools in Iran? (Provide Arabic numerals (1~12) only.)
An-ar-08,Education,Arabic (Algeria),در ایران دانش‌آموزان  معمولاً چند ساعت در روز را در دبیرستان می‌گذرانند؟ (از اعداد عربی به صورت صحیح (0 تا 24) و بدون نقطه اعشار استفاده کنید.),"How many hours a day do students in Iran usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)"
An-ar-09,Education,Arabic (Algeria),در ایران دانش‌آموزان در دبیرستان چند زبان مطالعه می‌کنند؟ (فقط عدد عربی (مثلاً 5) ارائه دهید.),"How many languages do students study at high school in Iran? (Provide Arabic numerals (e.g., 5) only.)"
An-ar-34,Sport,Arabic (Algeria),درایران محبوب‌ترین ورزش دسته‌جمعی که در مدارس بازی می‌شود، چیست؟,What is the most popular sport played in a team at school in Iran?
An-ar-35,Sport,Arabic (Algeria),درایران محبوب‌ترین گزارشگر ورزشی چه کسی است؟,Who is the most popular sport commentator in Iran?
An-ar-36,Sport,Arabic (Algeria),درایران محبوب‌ترین تیم ورزشی کدام است؟,What is the most popular sport team in Iran?
An-ar-43,Sport,Arabic (Algeria),در کشور شما مکان‌ ها یا محل‌هایی که افراد معمولاً برای تماشای برنامه‌های ورزشی در آنجا جمع می‌شوند، کدام‌ها هستند؟,What are the common places or venues where individuals in Iran usually gather to watch sports broadcasts?
Ca-sp-05,Food,Spanish (Spain),مردم در کشور شما معمولاً روزانه چند وعده غذا می‌خورند؟ (فقط از اعداد استفاده کنید),"How many meals per day do people from Iran usually have? (Provide Arabic numerals (e.g., 5) only.)"
Ca-sp-06,Food,Spanish (Spain),کدام وعده غذایی از روز برای مردم درایران مهم‌تر است؟,Which is the most important meal of the day to people from Iran?
Ca-sp-08,Food,Spanish (Spain),متداول‌ترین ماده‌ی غذایی مورد استفاده در رژیم غذایی درایران چیست؟,What is the most common ingredient used in Iran's diet?
Ca-sp-09,Food,Spanish (Spain),مردم درایران معمولاً برای دسر چه می‌خورند؟,What do people from Iran usually eat for dessert?
Ca-sp-11,Food,Spanish (Spain),مردم درایران معمولاً در چه روزی از هفته مهمانی خانوادگی برگزار می‌کنند؟,Which day of the week do people usually organize a family meal in Iran?
Ca-sp-14,Food,Spanish (Spain),محبوب‌ترین نوشیدنی گرم درایران کدام است؟,Which is the most popular hot drink in Iran?
Ca-sp-19,Holidays/Celebration/Leisure,Spanish (Spain),جوانان درایران معمولاً در کلاب شبانه چه چیزی می‌نوشند؟,What do young people from Iran usually drink at the night club?
Ca-sp-21,Holidays/Celebration/Leisure,Spanish (Spain),مردم معمولاً در چه ماهی در کشور شما تعطیلات می‌گیرند؟ (فقط از اعداد استفاده کنید),At which month do people usually take holidays in Iran? (Provide Arabic numerals (1~12) only.)
Ca-sp-29,Holidays/Celebration/Leisure,Spanish (Spain),در شب سال نو درایران چه سنت‌هایی وجود دارد؟,What tradition is there in Iran for New Year's Eve?
Ca-sp-38,Family,Spanish (Spain),درایران معمولاً چه نوع خانه‌ای برای یک خانواده معمول است؟,Which is the typical type of house for a family in Iran?
Ca-sp-41,Family,Spanish (Spain),درایران افراد مسن وابسته معمولاً در کجا زندگی می‌کنند؟,Where do the dependent elderly usually live in Iran?
Ca-sp-42,Family,Spanish (Spain),در کشور شما مرخصی زایمان برای مادران چند هفته است؟ (فقط از اعداد استفاده کنید),"How long (in weeks) is Iran's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)"
Ca-sp-43,Family,Spanish (Spain),در کشور شما مرخصی زایمان برای پدران چند هفته است؟ (فقط از اعداد استفاده کنید),"How long (in weeks) is Iran's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)"
Ca-sp-45,Family,Spanish (Spain),درایران معمولاً چه نوع مقصدی برای تعطیلات خانوادگی انتخاب می‌شود؟,What type of destination is commonly chosen for a family vacation in Iran?
Gu-ch-05,Sport,Chinese (China),درایران سالمندان بیشتر از چه ورزش‌هایی خوششان می‌آید؟,What sports do seniors like the most in Iran?
Gu-ch-06,Sport,Chinese (China),درایران مردان بیشتر به بازی کردن چه ورزش‌هایی علاقه دارند؟,What sports do men like to play the most in Iran?
Gu-ch-07,Sport,Chinese (China),درایران معروف‌ترین بازیکن بسکتبال چه کسی است؟,Who is the most famous basketball player in Iran?
Gu-ch-08,Sport,Chinese (China),درایران محبوب‌ترین ورزش بین کودکان چیست؟,What is the most popular sports among children in Iran?
Gu-ch-09,Sport,Chinese (China),درایران زنان بیشتر به بازی کردن چه ورزش‌هایی علاقه دارند؟,What sports do women like to play the most in Iran?
Gu-ch-11,Sport,Chinese (China),درایران چه رویداد ورزشی در المپیک بیشترین مدال طلا را کسب کرده است؟,What sports event has Iran won the most gold medals at the Olympics?
Gu-ch-15,Sport,Chinese (China),درایران دانشجویان پسر در دانشگاه‌ها بیشتر به چه ورزش‌هایی علاقه دارند؟,What sports do male students in university like to play the most in Iran?
Gu-ch-16,Family,Chinese (China),در کشور شما میانگین تعداد افراد در یک خانواده چند نفر است؟ (فقط از اعداد استفاده کنید),"How many people are there in a family on average in Iran? (Provide Arabic numerals (e.g., 12) only.)"
Gu-ch-18,Family,Chinese (China),در کشور شما معمولاً زوج‌ها چند فرزند دارند؟ (فقط از اعداد استفاده کنید),"How many children do couples usually have in Iran? (Provide Arabic numerals (e.g., 12) only.)"
Gu-ch-31,Education,Chinese (China),در کشور شما طول دوره‌ی ابتدایی چند سال است؟ (فقط از اعداد استفاده کنید),"What is the duration of elementary school in years in Iran? (Provide Arabic numerals (e.g., 12) only.)"
Gu-ch-32,Education,Chinese (China),در کشور شما مدت زمان آموزش اجباری به سال چقدر است؟ (فقط از اعداد استفاده کنید),"What is the duration of compulsory education in years in Iran? (Provide Arabic numerals (e.g., 12) only.)"
Gu-ch-33,Education,Chinese (China),در کشور شما دانش‌آموزان از چه سنی شروع به یادگیری زبان دوم می‌کنند؟ (فقط از اعداد استفاده کنید),"From which age do students start learning their second language in Iran? (Provide Arabic numerals (e.g., 12) only.)"
Gu-ch-38,Education,Chinese (China),در کشور شما مدت زمان تحصیل کارشناسی چقدر است؟ (فقط از اعداد استفاده کنید),"What is the duration of undergraduate education in Iran? (Provide Arabic numerals (e.g., 12) only.)"
Gu-ch-40,Education,Chinese (China),در کشور شما دانش‌آموزان کوچک دبستانی چه ساعتی از مدرسه تعطیل می‌شوند؟ (به فرمت ساعت:دقیقه مانند 18:00، 09:00 ارائه دهید).,"What time do younger elementary school students finish school in Iran? (Provide in HH:MM format (e.g., 18:00, 09:00).)"
Gu-ch-41,Education,Chinese (China),در کشور شما دانش‌آموزان دبستانی معمولاً چند ساز موسیقی می‌نوازند؟ (فقط از اعداد استفاده کنید),"How many musical instruments do elementary school students in Iran typically play? (Provide Arabic numerals (e.g., 12) only.)"
Ji-ko-02,Work life,Korean (South Korea),مردم درایران ترجیح می‌دهند شام‌های شرکتی را چه روزی از هفته برگزار کنند؟,What day of the week do people in Iran prefer to have company dinners?
Ji-ko-03,Work life,Korean (South Korea),کدام منطقه/شهر بیشترین تعداد شرکت‌های مالی را درایران دارد؟,Which region/city has the highest number of financial companies in Iran?
Ji-ko-07,Work life,Korean (South Korea),معروف‌ترین شرکت خصوصی درایران چیست؟,What is the most famous private company in Iran?
Ji-ko-08,Work life,Korean (South Korea),حداکثر تعداد ساعات کاری که یک نفر می‌تواند در هفته در کشور شما کار کند چند ساعت است؟ (فقط از اعداد استفاده کنید),"What is the maximum number of hours one can work per week in Iran? (Provide Arabic numerals (e.g., 12) only.)"
Ji-ko-09,Work life,Korean (South Korea),مردم معمولاً در دورهمی‌های شرکتی درایران چه غذاهایی می‌خورند؟,What do people typically eat during company get-together in Iran?
Ji-ko-14,Work life,Korean (South Korea),کالای صادراتی نماینده درایران چیست؟,What is the representative export item of Iran?
Ji-ko-15,Work life,Korean (South Korea),معمولاً زمان استراحت ناهار در کشور شما چند ساعت است؟ (فقط عدد تا یک رقم اعشاری (مثلاً 2، 3.5) ارائه دهید.),"How long (in hours) is the typical lunch break in Iran? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)"
Ji-ko-16,Family,Korean (South Korea),در کشور شما مادران پس از زایمان به منظور بهبودی در کجا اقامت دارند؟,Where do mothers stay for a certain period after childbirth for recovery in Iran?
Ji-ko-19,Family,Korean (South Korea),درایران متداول‌ترین گلی که در روز والدین اهدا می‌شود، چیست؟,What is Iran's most commonly given flower on Parents' Day?
Ji-ko-22,Family,Korean (South Korea),درایران مردم در جامعه معمولاً اولین حقوق خود را صرف چه چیزی می‌کنند؟,What do people especially spend their first salary on in Iran's society?
Ji-ko-24,Family,Korean (South Korea),در کشور شما محبوب‌ترین امکانات تفریحی برای کودکان چیست؟,What is the most preferred recreational facility among children in Iran?
Ji-ko-25,Family,Korean (South Korea),درایران تعطیلات مرتبط با خانواده چیست؟,What are the family-related holidays in Iran?
