ID,Topic,Source,Question,Translation
Al-en-01,Food,English (US),What is a common snack for nursery kids in the UK?,What is a common snack for preschool kids in UK?
Al-en-02,Food,English (US),What is a popular food to go with beer in the UK?,What is a popular food to go with beer in UK?
Al-en-04,Food,English (US),What is the most popular fruit in the UK?,What is the most popular fruit in UK?
Al-en-06,Food,English (US),What is a common school cafeteria food in the UK?,What is a common school cafeteria food in UK?
Al-en-08,Food,English (US),What are the most commonly eaten snacks at shopping malls in the UK?,What are the most commonly eaten snacks at shopping malls in UK?
Al-en-09,Food,English (US),What is a popular snack at an amusement park in the UK?,What is a popular snack at an amusement park in UK?
Al-en-16,Education,English (US),"At what age do kids start nursery in the UK? (Provide Arabic numerals (e.g., 12) only.)","At what age do kids start preschool in UK? (Provide Arabic numerals (e.g., 12) only.)"
Al-en-17,Education,English (US),What is a popular afterschool sport for primary schools in the UK?,What is a popular afterschool sport for elementary schools in UK?
Al-en-18,Education,English (US),For which subject do primary school students get private education in the UK?,For which subject do elementary students get private education in UK?
Al-en-19,Education,English (US),What is a popular second language for secondary school students in the UK?,What is a popular second language for high school students in UK?
Al-en-21,Education,English (US),Which subject is the most important for gifted education in the UK?,Which subject is the most important for gifted education in UK?
Al-en-32,Holidays/Celebration/Leisure,English (US),What is the main dish for Thanksgiving in the UK?,What is the main dish for Thanksgiving in UK?
Al-en-33,Holidays/Celebration/Leisure,English (US),What do people do to celebrate Halloween in the UK?,What do people do to celebrate Halloween in UK?
Al-en-34,Holidays/Celebration/Leisure,English (US),What do people do to celebrate New Year's Day in the UK?,What do people do to celebrate New Year's Day in UK?
Al-en-35,Holidays/Celebration/Leisure,English (US),What do people do to celebrate Christmas in the UK?,What do people do to celebrate Christmas in UK?
Al-en-36,Holidays/Celebration/Leisure,English (US),What food is associated with Halloween in the UK?,What food is associated with Halloween in UK?
Al-en-37,Holidays/Celebration/Leisure,English (US),What food is associated with Christmas in the UK?,What food is associated with Christmas in UK?
Al-en-38,Holidays/Celebration/Leisure,English (US),What food is associated with Valentine's day in the UK?,What food is associated with Valentine's day in UK?
Al-en-39,Holidays/Celebration/Leisure,English (US),What do people eat on their birthday in the UK?,What do people eat on their birthday in UK?
Al-en-40,Holidays/Celebration/Leisure,English (US),What is a popular outdoor place for families to have fun with little kids in the UK?,What is a popular outdoor place for families to have fun with little kids in UK?
Al-en-43,Holidays/Celebration/Leisure,English (US),What is a popular indoor activity for families in the UK?,What is a popular indoor activity for families in UK?
An-ar-02,Education,Arabic (Algeria),Where do university students have lunch in the UK?,Where do university students have lunch in UK?
An-ar-03,Education,Arabic (Algeria),Which month is the final exam term usually scheduled at secondary schools in the UK? (Provide Arabic numerals (1~12) only.),Which month is the final exam term usually scheduled at high schools in UK? (Provide Arabic numerals (1~12) only.)
An-ar-08,Education,Arabic (Algeria),"How many hours a day do students in the UK usually spend at secondary school? (Provide Arabic numerals in integers (0~24), without any decimal points.)","How many hours a day do students in UK usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)"
An-ar-09,Education,Arabic (Algeria),"How many languages do students study at secondary school in the UK? (Provide Arabic numerals (e.g., 5) only.)","How many languages do students study at high school in UK? (Provide Arabic numerals (e.g., 5) only.)"
An-ar-34,Sport,Arabic (Algeria),What is the most popular sport played in a team at school in the UK?,What is the most popular sport played in a team at school in UK?
An-ar-35,Sport,Arabic (Algeria),Who is the most popular sports commentator in the UK?,Who is the most popular sport commentator in UK?
An-ar-36,Sport,Arabic (Algeria),What is the most popular sports team in the UK?,What is the most popular sport team in UK?
