ID,Topic,Source,Question,Translation
Al-en-01,Food,English (US),¿Cuál es un tentempié común para niños de preescolar en España?,What is a common snack for preschool kids in Spain?
Al-en-02,Food,English (US),¿Cuál es una comida popular para acompañar la cerveza en España?,What is a popular food to go with beer in Spain?
Al-en-04,Food,English (US),¿Cuál es la fruta más popular en España?,What is the most popular fruit in Spain?
Al-en-06,Food,English (US),¿Cuál es una comida común en las cafeterías escolares de España?,What is a common school cafeteria food in Spain?
Al-en-08,Food,English (US),¿Cuáles son los aperitivos más consumidos en los centros comerciales de España?,What are the most commonly eaten snacks at shopping malls in Spain?
Al-en-09,Food,English (US),¿Cuál es un aperitivo popular en un parque de atracciones en España?,What is a popular snack at an amusement park in Spain?
Al-en-16,Education,English (US),"¿A qué edad comienzan los niños el preescolar en España? (Proporciona la respuesta en números (por ejemplo, 12).)","At what age do kids start preschool in Spain? (Provide Arabic numerals (e.g., 12) only.)"
Al-en-17,Education,English (US),¿Cuál es un deporte extraescolar popular en la escuela primaria en España?,What is a popular afterschool sport for elementary schools in Spain?
Al-en-18,Education,English (US),¿Para qué asignatura reciben educación privada los estudiantes de primaria en España?,For which subject do elementary students get private education in Spain?
Al-en-19,Education,English (US),¿Cuál es un segundo idioma popular para los estudiantes de secundaria en España?,What is a popular second language for high school students in Spain?
Al-en-21,Education,English (US),¿Qué asignatura es la más importante para la educación de los superdotados en España?,Which subject is the most important for gifted education in Spain?
Al-en-32,Holidays/Celebration/Leisure,English (US),¿Cuál es el plato principal para el Día de Acción de Gracias en España?,What is the main dish for Thanksgiving in Spain?
Al-en-33,Holidays/Celebration/Leisure,English (US),¿Qué hacen las personas para celebrar Halloween en España?,What do people do to celebrate Halloween in Spain?
Al-en-34,Holidays/Celebration/Leisure,English (US),¿Qué hacen las personas para celebrar el Año Nuevo en España?,What do people do to celebrate New Year's Day in Spain?
Al-en-35,Holidays/Celebration/Leisure,English (US),¿Qué hacen las personas para celebrar la Navidad en España?,What do people do to celebrate Christmas in Spain?
Al-en-36,Holidays/Celebration/Leisure,English (US),¿Qué comida se asocia con Halloween en España?,What food is associated with Halloween in Spain?
Al-en-37,Holidays/Celebration/Leisure,English (US),¿Qué comida se asocia con la Navidad en España?,What food is associated with Christmas in Spain?
Al-en-38,Holidays/Celebration/Leisure,English (US),¿Qué comida se asocia con el día de San Valentín en España?,What food is associated with Valentine's day in Spain?
Al-en-39,Holidays/Celebration/Leisure,English (US),¿Qué comen las personas en su cumpleaños en España?,What do people eat on their birthday in Spain?
Al-en-40,Holidays/Celebration/Leisure,English (US),¿Cuál es un lugar al aire libre popular para que las familias se diviertan con niños pequeños en España?,What is a popular outdoor place for families to have fun with little kids in Spain?
Al-en-43,Holidays/Celebration/Leisure,English (US),¿Cuál es una actividad de interior popular para las familias en España?,What is a popular indoor activity for families in Spain?
An-ar-02,Education,Arabic (Algeria),¿Dónde almuerzan los estudiantes universitarios en España?,Where do university students have lunch in Spain?
An-ar-03,Education,Arabic (Algeria),¿En qué mes se suele programar el período de exámenes finales en los institutos de España? (Indica solo con números del 1 al 12).,Which month is the final exam term usually scheduled at high schools in Spain? (Provide Arabic numerals (1~12) only.)
An-ar-08,Education,Arabic (Algeria),"¿Cuántas horas al día suelen pasar los estudiantes en el instituto en España? (Indica el número en números enteros (0~24), sin ningún decimal.)","How many hours a day do students in Spain usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)"
An-ar-09,Education,Arabic (Algeria),"¿Cuántos idiomas estudian los alumnos en el instituto en España? (Indica solo en números, por ejemplo, 5.)","How many languages do students study at high school in Spain? (Provide Arabic numerals (e.g., 5) only.)"
An-ar-34,Sport,Arabic (Algeria),¿Cuál es el deporte de equipo más popular que se juega en las escuelas en España?,What is the most popular sport played in a team at school in Spain?
An-ar-35,Sport,Arabic (Algeria),¿Quién es el comentarista deportivo más popular en España?,Who is the most popular sport commentator in Spain?
An-ar-36,Sport,Arabic (Algeria),¿Cuál es el equipo deportivo más popular en España?,What is the most popular sport team in Spain?
An-ar-43,Sport,Arabic (Algeria),¿Cuáles son los lugares o establecimientos habituales donde la gente en España suele reunirse para ver las retransmisiones deportivas?,What are the common places or venues where individuals in Spain usually gather to watch sports broadcasts?
Ca-sp-05,Food,Spanish (Spain),"¿Cuántas comidas al día suelen tener las personas de España? (Porporciona la respuesta en números (por ejemplo, 5).)","How many meals per day do people from Spain usually have? (Provide Arabic numerals (e.g., 5) only.)"
Ca-sp-06,Food,Spanish (Spain),¿Cuál es la comida más importante del día para la gente de España?,Which is the most important meal of the day to people from Spain?
Ca-sp-08,Food,Spanish (Spain),¿Cuál es el ingrediente más común utilizado en la dieta española?,What is the most common ingredient used in Spain's diet?
Ca-sp-09,Food,Spanish (Spain),¿Qué suelen comer los españoles de postre?,What do people from Spain usually eat for dessert?
Ca-sp-11,Food,Spanish (Spain),¿Qué día de la semana suelen organizar una comida familiar en España?,Which day of the week do people usually organize a family meal in Spain?
Ca-sp-14,Food,Spanish (Spain),¿Cuál es la bebida caliente más popular en España?,Which is the most popular hot drink in Spain?
Ca-sp-19,Holidays/Celebration/Leisure,Spanish (Spain),¿Qué suelen beber los jóvenes de España en la discoteca?,What do young people from Spain usually drink at the night club?
Ca-sp-21,Holidays/Celebration/Leisure,Spanish (Spain),¿En qué mes suelen las personas tomar vacaciones en España? (Proporciona la respuesta en números del 1 al 12).,At which month do people usually take holidays in Spain? (Provide Arabic numerals (1~12) only.)
Ca-sp-29,Holidays/Celebration/Leisure,Spanish (Spain),¿Qué tradición hay en España para Nochevieja?,What tradition is there in Spain for New Year's Eve?
Ca-sp-38,Family,Spanish (Spain),¿Cuál es el tipo de casa típico para una familia en España?,Which is the typical type of house for a family in Spain?
Ca-sp-41,Family,Spanish (Spain),¿Dónde suelen vivir las personas mayores dependientes en España?,Where do the dependent elderly usually live in Spain?
Ca-sp-42,Family,Spanish (Spain),"¿Cuántas semanas dura la baja por maternidad en España para las madres? (Proporciona la respuesta en números, por ejemplo, 20).","How long (in weeks) is Spain's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)"
Ca-sp-43,Family,Spanish (Spain),"¿Cuántas semanas dura la baja por paternidad en España para los padres? (Proporciona la respuesta en números, por ejemplo, 20).","How long (in weeks) is Spain's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)"
